"","dist","adjusted_ppm","Totalflux_umolpers","Wetland","Wetland_4","shape","Remove","Totalfux_gpers"
"94",78.32885213,4894.492681,6.853728282,"ANTE","ANTE","shape",NA,0.000301564044408
"95",129.1111223,1578.686108,12.707245005,"ANTE","ANTE","shape",NA,0.00055911878022
"96",161.3472344,928.338098,17.31388059,"ANTE","ANTE","shape",NA,0.00076181074596
"97",198.2064631,1272.841318,19.76659294,"ANTE","ANTE","shape",NA,0.00086973008936
"98",232.9589084,1209.46321,23.513244055,"ANTE","ANTE","shape",NA,0.00103458273842
"99",254.9909653,1311.062431,27.67296627,"ANTE","ANTE","shape",NA,0.00121761051588
"100",284.62988145,522.9615036,31.822980325,"ANTE","ANTE","shape",NA,0.0014002111343
"101",337.8576351,316.8696346,33.90264761,"ANTE","ANTE","shape",NA,0.00149171649484
"102",373.72388855,548.8156906,33.918548755,"ANTE","ANTE","shape",NA,0.00149241614522
"103",376.41208615,563.8440146,34.158056755,"ANTE","ANTE","shape",NA,0.00150295449722
"104",385.07295425,1026.038211,34.76193859,"ANTE","ANTE","shape",NA,0.00152952529796
"105",403.4191584,2425.550391,35.741492215,"ANTE","ANTE","shape",NA,0.00157262565746
"106",420.3292576,1744.438456,36.368557,"ANTE","ANTE","shape",NA,0.001600216508
"107",435.14434565,785.6929274,36.52637841,"ANTE","ANTE","shape",NA,0.00160716065004
"108",447.06784895,1008.527805,38.1186484,"ANTE","ANTE","shape",NA,0.0016772205296
"109",0,NA,0,"COLM","COLM","shape",NA,0
"110",71.128235068,883.8983801,6.8666858245,"COLM","COLM","shape",NA,0.000302134176278
"111",118.241266838,NA,33.270255852,"COLM","COLM","shape",NA,0.001463891257488
"112",167.998145068,761.8216451,57.840648545,"COLM","COLM","shape",NA,0.00254498853598
"113",199.426123818,840.9457288,71.27107394,"COLM","COLM","shape",NA,0.00313592725336
"114",222.712869068,NA,87.3977252,"COLM","COLM","shape",NA,0.0038454999088
"115",248.434357618,727.4525297,101.16052556,"COLM","COLM","shape",NA,0.00445106312464
"116",273.783495368,1011.31155,122.576278825,"COLM","COLM","shape",NA,0.0053933562683
"117",339.768933718,1273.369103,267.3156833,"COLM","COLM","shape",NA,0.0117618900652
"118",410.717960368,1055.136888,412.2078324,"COLM","COLM","shape",NA,0.0181371446256
"119",459.384583718,1250.423056,450.92323205,"COLM","COLM","shape",NA,0.0198406222102
"120",504.020779968,1019.784908,502.3930585,"COLM","COLM","shape",NA,0.022105294574
"121",537.121945368,1218.528675,549.479797,"COLM","COLM","shape",NA,0.024177111068
"122",566.331841768,1313.90785,590.9870345,"COLM","COLM","shape",NA,0.026003429518
"123",592.703994068,1340.152269,617.08458395,"COLM","COLM","shape",NA,0.0271517216938
"124",629.623260868,1318.547174,812.547446,"COLM","COLM","shape",NA,0.035752087624
"125",723.330408118,1245.17563,1020.14030065,"COLM","COLM","shape",NA,0.0448861732286
"126",823.057507718,754.3712352,1040.0894088,"COLM","COLM","shape",NA,0.0457639339872
"127",864.633218468,764.1083701,1057.7981083,"COLM","COLM","shape",NA,0.0465431167652
"128",892.542205468,819.375235,1099.0846283,"COLM","COLM","shape",NA,0.0483597236452
"129",919.971572768,836.6046946,1127.8187438,"COLM","COLM","shape",NA,0.0496240247272
"130",941.417354068,1345.388003,1135.5603723,"COLM","COLM","shape",NA,0.0499646563812
